ds,y
2019-11-15,28660
2019-11-16,32518
2019-11-17,46130
2019-11-18,29960
2019-11-19,31285
2019-11-20,32143
2019-11-21,29982
2019-11-22,28680
2019-11-23,30857
2019-11-24,39747
2019-11-25,42924
2019-11-26,41429
2019-11-27,52763
2019-11-28,78296
2019-11-29,309705
2019-11-30,50880
2019-12-01,52929
2019-12-02,41979
2019-12-03,34466
2019-12-04,35483
2019-12-05,33108
2019-12-06,31717
2019-12-07,34052
2019-12-08,43689
2019-12-09,34494
2019-12-10,35929
2019-12-11,36925
2019-12-12,34452
2019-12-13,33060
2019-12-14,35438
2019-12-15,45418
2019-12-16,41028
2019-12-17,33711
2019-12-18,30888
2019-12-19,26801
2019-12-20,21780
2019-12-21,22615
2019-12-22,21972
2019-12-23,18513
2019-12-24,13044
2019-12-25,19995
2019-12-26,29043
2019-12-27,34085
2019-12-28,35898
2019-12-29,35236
2019-12-30,32696
2019-12-31,15735
2020-01-01,20475
2020-01-02,30189
2020-01-03,31708
2020-01-04,30333
2020-01-05,32530
2020-01-06,27057
2020-01-07,28503
2020-01-08,29787
2020-01-09,27551
2020-01-10,25832
2020-01-11,28563
2020-01-12,37914
2020-01-13,25927
2020-01-14,27389
2020-01-15,28481
2020-01-16,26408
2020-01-17,24768
2020-01-18,27331
2020-01-19,36234
2020-01-20,27974
2020-01-21,29373
2020-01-22,30448
2020-01-23,28210
2020-01-24,26572
2020-01-25,29217
2020-01-26,38643
2020-01-27,29017
2020-01-28,30486
2020-01-29,31612
2020-01-30,29285
2020-01-31,27564
2020-02-01,30335
2020-02-02,40162
2020-02-03,25966
2020-02-04,27315
2020-02-05,28389
2020-02-06,26269
2020-02-07,24656
2020-02-08,27238
2020-02-09,36209
2020-02-10,29645
2020-02-11,31157
2020-02-12,32290
2020-02-13,30015
2020-02-14,28403
2020-02-15,30984
2020-02-16,40511
2020-02-17,31169
2020-02-18,32727
2020-02-19,33893
2020-02-20,31488
2020-02-21,29795
2020-02-22,32524
2020-02-23,42588
2020-02-24,32148
2020-02-25,33892
2020-02-26,35332
2020-02-27,32597
2020-02-28,30390
2020-02-29,33896
2020-03-01,45585
2020-03-02,37388
2020-03-03,39290
2020-03-04,40565
2020-03-05,37551
2020-03-06,35254
2020-03-07,38951
2020-03-08,51954
2020-03-09,38166
2020-03-10,40063
2020-03-11,41379
2020-03-12,38247
2020-03-13,35863
2020-03-14,39728
2020-03-15,53193
2020-03-16,19864
2020-03-17,25922
2020-03-18,28872
2020-03-19,26825
2020-03-20,23746
2020-03-21,26130
2020-03-22,39455
2020-03-23,30853
2020-03-24,32146
2020-03-25,32188
2020-03-26,30222
2020-03-27,32967
2020-03-28,52258
2020-03-29,53454
2020-03-30,44282
2020-03-31,47392
2020-04-01,49330
2020-04-02,49174
2020-04-03,49482
2020-04-04,54222
2020-04-05,54676
2020-04-06,45860
2020-04-07,42037
2020-04-08,41263
2020-04-09,41873
2020-04-10,42446
2020-04-11,59116
2020-04-12,63795
2020-04-13,81787
2020-04-14,64995
2020-04-15,56510
2020-04-16,54789
2020-04-17,64376
2020-04-18,73467
2020-04-19,74833
2020-04-20,45901
2020-04-21,50081
2020-04-22,49486
2020-04-23,48915
2020-04-24,58794
2020-04-25,59257
2020-04-26,59385
2020-04-27,55442
2020-04-28,55327
2020-04-29,54760
